No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed,,,,,,,,,,,,,
1677,SHIP CONSTRUCTION TURNKEY,Longford,"Carragh, Granard",7,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1678,SHIP CONSTRUCTION TURNKEY,Longford,"Slí Corglass, Legga",4,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
1679,SHIP CONSTRUCTION TURNKEY,Longford,"Radharc Na Muileann, Knock, Lanesborough",2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1680,SHIP CONSTRUCTION TURNKEY,Longford,"Pearse Drive, Longford Town",1,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1681,SHIP CONSTRUCTION TURNKEY,Longford,"Cartrons, Kenagh",5,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1682,SHIP CONSTRUCTION TURNKEY,Longford,"Farnagh Hill, Longford Town",4,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
1683,SHIP CONSTRUCTION TURNKEY,Longford,"Farnagh Hill, Longford Town",8,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
1684,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",1,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1685,SHIP CONSTRUCTION TURNKEY,Longford,"Campbell's Drive, Campbell's Lane, Longford",6,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
1686,SHIP CONSTRUCTION TURNKEY,Longford,"O'Hara Site, Connaught Rd.,Longford",14,*N/A,,,,,Q1-2021,,,,,,,,,,,,,,
1687,SHIP CONSTRUCTION TURNKEY,Longford,"Farnagh Hill, Longford Town",2,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1688,SHIP CONSTRUCTION TURNKEY,Longford,"Alder Field, Farnagh Hill (Phase 2)",4,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1689,SHIP CONSTRUCTION TURNKEY,Longford,"Slí Corglass, Legga",4,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1690,SHIP CONSTRUCTION TURNKEY,Longford,"Campbell's Drive, Campbell's Lane, Longford",4,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1691,SHIP CONSTRUCTION TURNKEY,Longford,"Slí Corglass, Legga ",1,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
1692,SHIP CONSTRUCTION TURNKEY,Longford,"Campbell's Lane, Longford",5,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1693,SHIP CONSTRUCTION TURNKEY,Longford,"St. Patricks Ct., Ballinamuck",8,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1694,SHIP CONSTRUCTION TURNKEY,Longford,"Alder Field, Farnagh Hill",12,N/A,,,,,,Q3-2021,,,,,,,,,,,,,
1695,SHIP CONSTRUCTION TURNKEY,Longford,"Campbell's Drive, Campbell's Lane, Longford",6,N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1696,SHIP CONSTRUCTION TURNKEY,Longford,"Alder Field, Farnagh Hill",4,N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1697,SHIP CONSTRUCTION TURNKEY,Longford,"Alder Field, Farnagh Hill",3,N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1698,SHIP CONSTRUCTION TURNKEY,Longford,"Campbell's Drive, Campbell's Lane Longford",2,N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1699,SHIP CONSTRUCTION SINGLE STAGE,Longford,"24B Congress Terrace, Longford",1,N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1700,SHIP CONSTRUCTION,Longford,"Rathcline Road, Lanesborough",4,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1701,SHIP CONSTRUCTION,Longford,"Edgeworthstown Road, Ballymahon",4,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
1702,SHIP CONSTRUCTION,Longford,"Daroge, Ballymahon",1,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1703,SHIP CONSTRUCTION,Longford,"'Rose Cottage', Ballinalee",6,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1704,SHIP CONSTRUCTION,Longford,"St.Rita's, Park Road, Longford",14,*N/A,,"Stage 2 approved Q1-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1705,SHIP CONSTRUCTION,Longford,"Fairgreen View, Longford Town",1,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1706,SHIP CONSTRUCTION,Longford,"Cranleymore, Abbeylara",3,*N/A,,,"Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1707,SHIP CONSTRUCTION,Longford,"Cloonahard, Edgeworthstown",1,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1708,SHIP CONSTRUCTION,Longford,"Woodlands Path, Keenagh",4,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1709,SHIP CONSTRUCTION,Longford,"Clough Dillons, Keenagh",4,N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1710,SHIP CONSTRUCTION,Longford,"Radharc Na Muileann, Lanesborough",22,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1711,SHIP CONSTRUCTION,Longford,"Drynan, Ballymahon",13,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1712,SHIP CONSTRUCTION,Longford,"Cnoc Na Gréine, Granard",6,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1713,CALF Turnkey,Longford,"Cartrun Breac, Lisbrack Rd, Longford (Phase 1)",7,Clúid Housing,,,,,,Q1-2017,,,,,,,,,,,,,
1714,CALF Construction,Longford,"Colmcille Terrace, Granard, Co. Longford. (Phase 1)",21,Tuath Housing Association,,,,Q2-2018,,,,,,,,,,,,,,,
1715,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Louth,"Ravel Ardee Road, Dunleer",80,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
1716,SHIP CONSTRUCTION TURNKEY,Louth,"Brabazon Hall, Termonfeckin, Drogheda",5,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1717,SHIP CONSTRUCTION TURNKEY,Louth,"‘Gort Bui’, Ballymakenny Road, Drogheda",13,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1718,SHIP CONSTRUCTION TURNKEY,Louth,"Green Gates Manor, Haynestown, Dundalk",44,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
1719,SHIP CONSTRUCTION TURNKEY,Louth,"Wadman Park, Haynestown, Dundalk",16,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
1720,SHIP CONSTRUCTION TURNKEY,Louth,"‘Gort Bui’, Ballymakenny Road, Drogheda",9,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1721,SHIP CONSTRUCTION TURNKEY,Louth,"‘Gort Bui’, Ballymakenny Road, Drogheda",10,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
1722,SHIP CONSTRUCTION TURNKEY,Louth,"‘Gort Bui’, Ballymakenny Road, Drogheda",9,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1723,SHIP CONSTRUCTION TURNKEY,Louth,"‘Gort Bui’, Ballymakenny Road, Drogheda",8,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1724,SHIP CONSTRUCTION TURNKEY,Louth,"Wadman Park, Haynestown, Dundalk",17,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1725,SHIP CONSTRUCTION TURNKEY,Louth,"Bridgegate Close, Bridgegate, Ardee",1,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1726,SHIP CONSTRUCTION TURNKEY,Louth,"Termon River, Termonfeckin",2,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1727,SHIP CONSTRUCTION TURNKEY,Louth,"Glyde View, Tallanstown",2,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1728,SHIP CONSTRUCTION TURNKEY,Louth,"Wadman Park, Haynestown, Dundalk",29,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1729,SHIP CONSTRUCTION TURNKEY,Louth,"Termon River, Termonfeckin",1,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1730,SHIP CONSTRUCTION TURNKEY,Louth,"Ellwood, Ballymakenny Road, Drogheda",8,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1731,SHIP CONSTRUCTION TURNKEY,Louth,"Ellwood, Ballymakenny Road, Drogheda",5,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1732,SHIP CONSTRUCTION TURNKEY,Louth,"Ellwood, Ballymakenny Road, Drogheda",5,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1733,SHIP CONSTRUCTION TURNKEY,Louth,"Ellwood, Ballymakenny Road, Drogheda",17,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1734,SHIP CONSTRUCTION SINGLE STAGE,Louth,"55/57 Bothar Brugha, Drogheda",3,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1735,SHIP CONSTRUCTION SINGLE STAGE,Louth,"Moneymore, Drogheda",1,*N/A,,,,,Q2-2020,,,,,,,,,,,,,,
1736,SHIP CONSTRUCTION SINGLE STAGE,Louth,"Gort Uaine, Clogherhead",1,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
1737,SHIP CONSTRUCTION SINGLE STAGE,Louth,"School Lane, Dunleer",1,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
1738,SHIP CONSTRUCTION SINGLE STAGE,Louth,"Doire Beag, Collon",6,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1739,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 2,4,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
1740,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 1,7,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
1741,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 1,5,*N/A,,,,,,Q2-2017,,,,,,,,,,,,,
1742,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 1,3,*N/A,,,,,,Q3-2017,,,,,,,,,,,,,
1743,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 1,7,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1744,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 1,1,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
1745,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 2,1,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
1746,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 2,2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1747,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 3,2,*N/A,,,,,,Q2-2017,,,,,,,,,,,,,
1748,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 3,1,*N/A,,,,,,Q3-2017,,,,,,,,,,,,,
1749,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 3,4,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1750,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 3,2,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
1751,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 4,1,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
1752,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 1,1,*N/A,,,,,,Q1-2020,,,,,,,,,,,,,
1753,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 3,1,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
1754,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 2,1,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
1755,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 2,1,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1756,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 4,1,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1757,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 3,2,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
1758,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 5 - Dundalk,2,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
1759,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 5 - Dundalk,1,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
1760,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 5 - Dundalk,3,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1761,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 6,1,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1762,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 5 - Dundalk,4,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1763,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 6,2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1764,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 5 - Dundalk,1,*N/A,,,,,,Q1-2020,,,,,,,,,,,,,
1765,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 5 - Dundalk,1,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
1766,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 5 - Dundalk,1,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
1767,SHIP CONSTRUCTION RENEWAL,Louth,"CPO Bundle 5 - 26 Castle Road, Dundalk",1,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1768,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 5 - Dundalk,1,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1769,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 6,1,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
1770,SHIP CONSTRUCTION RENEWAL,Louth,"CPO Bundle 6 - 6 Moorehall, Ardee",1,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1771,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 4,5,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
1772,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 3,4,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
1773,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 4,4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1774,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 3,5,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1775,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 2,1,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1776,SHIP CONSTRUCTION RENEWAL,Louth,CPO Bundle 5 - Dundalk,1,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
1777,SHIP CONSTRUCTION,Louth,"Woodlands, Dunleer",4,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
1778,SHIP CONSTRUCTION,Louth,"Boice Court (Phase 2), Drogheda",72,*N/A,,"Stage 2 approved Q3-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1779,SHIP CONSTRUCTION,Louth,Father Finn Park (Phase 2),17,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1780,SHIP CONSTRUCTION,Louth,"Mount Avenue, Dundalk",93,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1781,SHIP CONSTRUCTION,Louth,"Muirhevnamor, Dundalk (Phase 1)",11,*N/A,,,,,Q1-2021,,,,,,,,,,,,,,
1782,SHIP CONSTRUCTION,Louth,"Ballymakenny Road East (Site1b), Ballymakenny, Drogheda",80,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1783,SHIP CONSTRUCTION,Louth,"Rathmullen Park, Drogheda",6,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1784,REGENERATION,Louth,Cox's Demesne Phase 2a,14,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
1785,REGENERATION,Louth,Cox's Demesne Phase 2b,22,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
1786,CAS CONSTRUCTION TURNKEY,Louth,"Liscorrie, Bog Road, Drogheda",12,Túath Housing Association Ltd,,,,,,Q2-2021,,,,,,,,,,,,,
1787,CAS CONSTRUCTION,Louth,"6 Slieveroe Crescent, Dundalk",1,Cluid Housing Association,,,,,,Q4-2021,,,,,,,,,,,,,
1788,CAS CONSTRUCTION,Louth,"Barrack Street, Dundalk",21,Simon Community : Dundalk Simon,,,,,Q4-2021,,,,,,,,,,,,,,
1789,CAS CONSTRUCTION,Louth,"McArdle Green (Moneymore), Drogheda",1,North ? East Housing Association Ltd,,,,,,Q4-2018,,,,,,,,,,,,,
1790,CAS CONSTRUCTION,Louth,"Tierney Street, Ardee",7,Oaklee Housing Trust,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1791,CAS CONSTRUCTION,Louth,"Tredagh View, Drogheda",1,Respond,,,,,,Q1-2017,,,,,,,,,,,,,
1792,CAS CONSTRUCTION,Louth,"Coulter Park, Dundalk",7,Túath Housing Association Ltd,,,,,Q3-2021,,,,,,,,,,,,,,
1793,CAS CONSTRUCTION,Louth,"Four Winds, Mullacapple, Collon",1,St. John of God Housing Association Ltd,,"Stage 2 approved Q2-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1794,CAS CONSTRUCTION,Louth,"St. John's Home, Peter's Hill, Drogheda",4,North ? East Housing Association Ltd,,,"Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1795,CAS CONSTRUCTION,Louth,"Riverwell Close, Dundalk",1,Respond,,"Stage 2 approved Q2-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1796,CAS CONSTRUCTION,Louth,"Highfield, Newry Road, Dundalk (Domestic Violence Refuge)",12,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1797,CAS CONSTRUCTION,Louth,"10-16 The Alleys, St. Peter's Place, Drogheda",14,Peter McVerry Trust Ltd,"Stage 1 approved Q1-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1798,CALF Turnkey,Louth,"2 units An Rian, Termonfeckin Rd., Drogheda, Co. Louth (Phase 1)",2,North & East Housing Association Ltd,,,,,,Q2-2019,,,,,,,,,,,,,
1799,CALF Turnkey,Louth,"Aston Village, Drogheda (Phase 1)*",8,Respond,,,,,,Q3-2018,,,,,,,,,,,,,
1800,CALF Construction,Louth,"Bishops Court, Dundalk, Co Louth  (Phase 1)",2,Tuath Housing Association,,,,,,Q3-2020,,,,,,,,,,,,,
1801,CALF Turnkey,Louth,"Carlinn Drive, Mullaharlin Road, Dundalk, Co. Louth (Phase 1)",6,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
1802,CALF Turnkey,Louth,"Castle Court, Castlebellingham, Louth (Phase 1)",4,Clúid Housing,,,,,,Q1-2017,,,,,,,,,,,,,
1803,CALF Turnkey,Louth,"Castle Court, Castlebellingham, Louth (Phase 2)",10,Clúid Housing,,,,,,Q1-2017,,,,,,,,,,,,,
1804,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 1)",9,Tuath Housing Association,,,,,,Q1-2018,,,,,,,,,,,,,
1805,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 2)*",20,Tuath Housing Association,,,,,,Q1-2018,,,,,,,,,,,,,
1806,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 3)",8,Tuath Housing Association,,,,,,Q3-2018,,,,,,,,,,,,,
1807,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 4)",15,Tuath Housing Association,,,,,,Q3-2018,,,,,,,,,,,,,
1808,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 5)",6,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
1809,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 6)*",22,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
1810,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 7)",22,Tuath Housing Association,,,,,,Q2-2019,,,,,,,,,,,,,
1811,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 1)*",16,Tuath Housing Association,,,,,,Q1-2021,,,,,,,,,,,,,
1812,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 2)",10,Tuath Housing Association,,,,,,Q2-2021,,,,,,,,,,,,,
1813,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 3)",16,Tuath Housing Association,,,,,,Q4-2021,,,,,,,,,,,,,
1814,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 4)",11,Tuath Housing Association,,,,,,Q4-2021,,,,,,,,,,,,,
1815,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 5)",12,Tuath Housing Association,,,,,Q1-2020,,,,,,,,,,,,,,
1816,CALF Turnkey,Louth,"Clonmore Close, Ardee, Co. Louth (Phase 1)",12,Clúid Housing,,,,,,Q1-2021,,,,,,,,,,,,,
1817,CALF Turnkey,Louth,"Clonmore Close, Ardee, Co. Louth (Phase 2)*",15,Clúid Housing,,,,,,Q3-2021,,,,,,,,,,,,,
1818,CALF Turnkey,Louth,"Clonmore Close, Ardee, Co. Louth (Phase 3)",15,Clúid Housing,,,,,,Q4-2021,,,,,,,,,,,,,
1819,CALF Turnkey,Louth,"Clonmore Close, Ardee, Co. Louth (Phase 4)",13,Clúid Housing,,,,,,Q4-2021,,,,,,,,,,,,,
1820,CALF Turnkey,Louth,"Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 1)*",13,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
1821,CALF Turnkey,Louth,"Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 2)",8,Tuath Housing Association,,,,,,Q1-2019,,,,,,,,,,,,,
1822,CALF Turnkey,Louth,"Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 3)",7,Tuath Housing Association,,,,,,Q2-2019,,,,,,,,,,,,,
1823,CALF Turnkey,Louth,Coulter Place Armagh Road (Phase 1),10,Clúid Housing,,,,,,Q1-2017,,,,,,,,,,,,,
1824,CALF Turnkey,Louth,Coulter Place Armagh Road (Phase 2),12,Clúid Housing,,,,,,Q3-2017,,,,,,,,,,,,,
1825,CALF Turnkey,Louth,"Donore Road, Drogheda, Co. Louth (Phase 1)",66,Clúid Housing,,,,,Q2-2021,,,,,,,,,,,,,,
1826,CALF Turnkey,Louth,"Dowdallshill, Dundalk, Co. Louth (Phase 1)*",13,North & East Housing Association Ltd,,,,,,Q3-2020,,,,,,,,,,,,,
1827,CALF Turnkey,Louth,"Dublin Road, Dundalk, Co. Louth (Phase 1)*",65,Respond,,,,,Q4-2020,,,,,,,,,,,,,,
1828,CALF Turnkey,Louth,"Dublin Road, Dundalk, Co. Louth(Glenview) (Phase 1)*",14,Respond,,,,,,Q1-2019,,,,,,,,,,,,,
1829,CALF Turnkey,Louth,"Dublin Road, Dundalk, Co. Louth(Glenview) (Phase 2)*",14,Respond,,,,,,Q4-2019,,,,,,,,,,,,,
1830,CALF Turnkey,Louth,"Duiche Roden (formerly The Kitchen Garden)Desmesne Road, Dundalk, Co. Louth (Phase 1)*",87,Clúid Housing,,,,,Q4-2020,,,,,,,,,,,,,,
1831,CALF Turnkey,Louth,"Duiche Roden (formerly The Kitchen Garden)Desmesne Road, Dundalk, Co. Louth (Phase 2)",43,Clúid Housing,,,,,Q4-2020,,,,,,,,,,,,,,
1832,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 1)*",11,Tuath Housing Association,,,,,,Q2-2019,,,,,,,,,,,,,
1833,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 2)*",14,Tuath Housing Association,,,,,,Q2-2019,,,,,,,,,,,,,
1834,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 3)*",15,Tuath Housing Association,,,,,,Q2-2019,,,,,,,,,,,,,
1835,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 4)*",47,Tuath Housing Association,,,,,,Q3-2019,,,,,,,,,,,,,
1836,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 5)*",24,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
1837,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 6)*",1,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
1838,CALF Turnkey,Louth,"Fairways Gardens, Dundalk Co Louth (Phase 1)",8,Clúid Housing,,,,,,Q4-2021,,,,,,,,,,,,,
1839,CALF Construction,Louth,"Fire Station Site, Scarlett St, Drogheda (Phase 1)",15,North & East Housing Association Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
1840,CALF Turnkey,Louth,"Halliday Mills, Quay Street, Dundalk, Co. Louth (Phase 1)*",85,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021,,,,,,,,,,,,,
1841,CALF Turnkey,Louth,"Harbour Grove, Dundalk, Co. Louth (Phase 1)",8,North & East Housing Association Ltd,,,,,,Q2-2020,,,,,,,,,,,,,
1842,CALF Turnkey,Louth,"Harbour View, Coulter Place, Dundalk (Phase 1)",24,Clúid Housing,,,,,,Q3-2021,,,,,,,,,,,,,
1843,CALF Turnkey,Louth,"Knock Shee Close, Blackrock, Co. Louth (Phase 1)",1,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
1844,CALF Turnkey,Louth,"Knock Shee, Old Golf Links Road, Blackrock, Co Louth  (Phase 1)",3,Clúid Housing,,,,,,Q4-2017,,,,,,,,,,,,,
1845,CALF Turnkey,Louth,"Knockshee Close, Blackrock, Co. Louth (Phase 1)",3,Clúid Housing,,,,,,Q2-2020,,,,,,,,,,,,,
1846,CALF Turnkey,Louth,"Liscorrie, Bog Lane, Drogheda (Phase 1)",41,Tuath Housing Association,,,,,,Q4-2017,,,,,,,,,,,,,
1847,CALF Turnkey,Louth,"Lismullen Grove, Dundalk, Co. Louth (Phase 1)*",15,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
1848,CALF Turnkey,Louth,"Lismullen Grove, Dundalk, Co. Louth (Phase 2)",8,Tuath Housing Association,,,,,,Q1-2021,,,,,,,,,,,,,
